category	alpha_global	alpha_global_se	alpha_global_ci99_low	alpha_global_ci99_high	beta_global_log	beta_global_log_se	beta_global_ci99_low	beta_global_ci99_high	n_genomes_used	r_squared	p_value
map00230	0.3161867548512074	0.011094822823435182	0.2876064912580384	0.3447670184443764	-0.0371758566055842	0.09146698514856885	-0.27279481034829756	0.19844309713712918	2162	0.27325810391779937	0.0
map00240	0.15550725697734902	0.010685145511927464	0.12798232213862387	0.18303219181607416	0.5946892108443409	0.08807773987505246	0.36780095292620574	0.8215774687624761	2164	0.08922673924154023	0.0
map00250	0.3628908400969621	0.011619085218345664	0.33296007657450366	0.39282160361942053	-1.0010244937619879	0.09578981595516835	-1.2477790596625016	-0.7542699278614742	2162	0.31110521156248094	0.0
map00260	0.5759746856190233	0.01664974110448093	0.5330849525338804	0.6188644187041662	-2.664805403143755	0.13735560665871518	-3.0186334458966053	-2.310977360390905	2148	0.35800746564838615	0.0
map00261	-0.03319868723805435	0.02304434868531359	-0.09256092945142216	0.02616355497531346	0.592380768452337	0.1901758357017665	0.10248781568458648	1.0822737212200875	2066	0.00100453892056529	1.7332049577244808
map00270	0.518452549062241	0.017777628328312166	0.47265737848850886	0.5642477196359732	-2.2082575069188395	0.14663513151668123	-2.5859896057058105	-1.8305254081318687	2151	0.28354541753701235	0.0
map00280	0.5110338253321468	0.02686057066568377	0.44184099529734544	0.5802266553669482	-3.901114683069252	0.22402371101495414	-4.478199762643774	-3.32402960349473	1216	0.22967923863088036	0.0
map00290	0.2007402223791116	0.017534593127236188	0.15557111048335118	0.24590933427487202	-1.4910066854993467	0.14555761018988256	-1.8659630893484842	-1.1160502816502091	1900	0.0645924946661478	0.0
map00300	0.31459069491109265	0.012745174042050278	0.2817591265787711	0.3474222632434142	-0.80544248639946	0.10520275303282434	-1.0764447782120155	-0.5344401945869046	2134	0.22225447948680965	0.0
map00310	0.026362985531241483	0.05451871134636413	-0.1140772148969925	0.16680318595947546	-0.12435220294924627	0.4540060360899278	-1.2938717519169003	1.0451673460184077	188	0.0012555657107206075	0.8616897054841532
map00330	0.46452444606220594	0.028590337816755226	0.39087573584624447	0.5381731562781674	-2.605592661135367	0.23667752435994852	-3.2152739638865944	-1.9959113583841397	2011	0.11614006992897807	0.0
map00332	-0.003692953349761132	0.0077391110906658706	-0.023628903519316416	0.016242996819794152	0.7399701221061012	0.06418686838399404	0.5746247491489326	0.9053154950632699	1884	0.00012097435656310829	1.1349423615879175
