category	alpha_global	alpha_global_se	alpha_global_ci99_low	alpha_global_ci99_high	beta_global_log	beta_global_log_se	beta_global_ci99_low	beta_global_ci99_high	n_genomes_used	r_squared	p_value
K00863	0.01086184147611414	0.026237156462667638	-0.056725073571717695	0.07844875652394598	0.08831707978760345	0.2189630909043029	-0.4757318423818809	0.6523660019570878	744	0.00023092405979419084	0.8966342701155969
K00864	0.210503818336505	0.020195383564675436	0.1584805102739011	0.2625271263991089	-1.5831833467577194	0.168052296569237	-2.016086062720074	-1.1502806307953648	1761	0.058172946990330154	0.0
K00869	0.05277072059030899	0.014628567865353341	0.01508752976915878	0.0904539114114592	-0.4065059450395434	0.11523479562121668	-0.7033507785597976	-0.10966111151928926	208	0.059417207428635876	0.0002524169105639906
K00872	0.0012106692345954058	0.003647219484315855	-0.008184568157002237	0.010605906626193047	-0.004316582295575113	0.03023013796715213	-0.082189417698959	0.07355625310780876	1772	6.224821649303269e-05	0.9322570338834151
K00877	-0.0361650683229679	0.022853815840901633	-0.0950364979291305	0.022706361283194712	0.5570341054358721	0.18970428258273023	0.06835587350275896	1.0457123373689852	1668	0.001500838080692457	1.7969279251070949
K00878	-0.00727967660725621	0.01463472406405478	-0.044978725796261325	0.030419372581748906	0.08705227113459556	0.11980955584608138	-0.22157714472491008	0.3956816869941012	655	0.0003787715802477942	1.1457401219559942
K00879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36	0.0	
K00883	0.2160272191141961	0.22061963551559824	-0.35228896197398496	0.7843434002023771	-1.7709313799483468	1.8594596478749066	-6.560899432874106	3.019036672977413	28	0.03556542857798184	0.5431379824545
K00884	0.4387940350630979	0.044011887734650264	0.3254194122586388	0.552168657867557	-3.508658562669165	0.37168536292112153	-4.466120057553974	-2.551197067784356	360	0.21731332268948167	0.0
K00891	-0.0006433116994339848	0.009486034622478504	-0.02507933688693861	0.023792713488070643	0.03204328377410266	0.07870621564073141	-0.17070392771642146	0.23479049526462675	1105	4.1696170046678915e-06	1.0029236002141195
K00899	-0.00045196513651806717	0.026631766945403625	-0.06905539678787781	0.06815146651484166	0.03282035953817527	0.22517654377485782	-0.5472344172258584	0.612875136302209	239	1.215237140361758e-06	1.0001833370406508
K00912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1198	0.0	
K00919	0.0034340012301440183	0.0012160780255069837	0.00030138423643802847	0.006566618223850008	-0.027666803811373236	0.010064453784881936	-0.053592836761229105	-0.001740770861517367	1932	0.004114623077199897	0.006242173323371958
K00927	0.007106551714984139	0.00601471019461441	-0.008387341746342581	0.02260044517631086	-0.04526483511596022	0.04963605242782398	-0.1731273061700348	0.08259763593811437	1459	0.0009572226377083659	0.4111787017029842
K00928	0.10221997625697934	0.02075977972512403	0.04874278368505985	0.15569716882889884	-0.5925135047708635	0.17133251295892593	-1.0338660581530568	-0.1511609513886703	2062	0.0116326123552275	1.9800287009985595e-07
K00929	-0.004550538472447712	0.0862077557034513	-0.22662171716453824	0.21752064021964282	0.2847534826279739	0.6993549589948616	-1.5167848917427895	2.0862918569987374	233	1.2061898915671776e-05	1.0017722618937621
K00931	-0.00010430443110570644	0.007720534937415608	-0.019992402429888312	0.0197837935676769	0.027013611214929567	0.06402757621336651	-0.13792142511070257	0.1919486475405617	1880	9.718854976359381e-08	1.0001161891631685
K00938	0.05275391459796246	0.01779131466420486	0.006923488022970742	0.09858434117295418	-0.40734473613978817	0.1395510374196256	-0.7668282085327438	-0.04786126374683258	181	0.04681833358361165	0.003708108002331567
K00941	-0.026358380705229608	0.015392080370097238	-0.06600837973860009	0.013291618328140877	0.33470457254454183	0.1277859954565602	0.005527848248442768	0.6638812968406409	1659	0.0017666575406606322	1.8453990597993015
K00945	0.008667227476056017	0.01051869731845069	-0.018428936816272962	0.035763391768385	-0.06765696577530977	0.0868686313188444	-0.29143056005265294	0.1561166285020334	180	0.0037998205478217972	0.6490589842172425
K00946	0.00320988978891804	0.004548151924734332	-0.0085061495691976	0.014925929147033678	-0.02015200764046303	0.037908635916759005	-0.11780465376203422	0.07750063848110816	1538	0.00032417408252705116	0.7282610114224859
K00948	0.09865087323601276	0.013520756380209413	0.06382140480059331	0.13348034167143222	-0.6927320526788996	0.11137786834660537	-0.979641441539755	-0.40582266381804416	1980	0.026208348328517816	1.7763568394002505e-15
K00950	0.055637732448052625	0.01462128958090651	0.017973290487637454	0.0933021744084678	-0.34504322694515754	0.1209862055947828	-0.6567036925573181	-0.033382761332997	1956	0.007355911364393286	9.921399510615103e-05
K00953	0.0025811828876502745	0.0014841086986992988	-0.0012418811201991191	0.006404246895499668	-0.02014126855673577	0.012224862234475928	-0.05163251367274575	0.011349976559274218	1904	0.0015878354159100105	0.14577521416152361
K00954	0.020512505930217632	0.0036531088199852554	0.011102097609935614	0.02992291425049965	-0.1611761989153774	0.03011782647514476	-0.2387597199153503	-0.0835926779154045	2157	0.014419724059028916	1.9178170163058894e-09
K00963	0.22761441554193912	0.019031792378921795	0.17858851837383657	0.27664031271004164	-1.694360260185976	0.1573321716801994	-2.0996479344341696	-1.2890725859377823	1624	0.0810376800842818	0.0
K00965	-0.026015634613622402	0.013029499543750881	-0.05957962543832468	0.0075483562110798715	0.25014777160569596	0.10882484657371412	-0.0301850331681916	0.5304805763795835	690	0.005761235555884703	1.9209765795730949
