category	alpha_global	alpha_global_se	alpha_global_ci99_low	alpha_global_ci99_high	beta_global_log	beta_global_log_se	beta_global_ci99_low	beta_global_ci99_high	n_genomes_used	r_squared	p_value
R00830	0.15283303003803916	0.046566205431183685	0.032878484847309986	0.27278757522876834	-1.12667509157601	0.3926592285737882	-2.1381652643820885	-0.11518491876993142	262	0.039782231259580025	0.001051422379631628
R00833	0.15295700500216158	0.028946236410203895	0.07839150000947635	0.2275225099948468	-1.0813450012234176	0.24407834063410386	-1.7100908066968692	-0.452599195749966	841	0.03220877820118173	1.9053307154237586e-08
R00847	0.210503818336505	0.020195383564675436	0.1584805102739011	0.2625271263991089	-1.5831833467577194	0.168052296569237	-2.016086062720074	-1.1502806307953648	1761	0.058172946990330154	0.0
R00856	0.012281267506706297	0.06075196093040196	-0.14421578385000913	0.16877831886342173	-0.0034267874771483353	0.4818805786220407	-1.2447511580075252	1.2378975830532286	155	0.00026702896089136896	0.9743191863439145
R00885	0.10575820538002141	0.049420152008004536	-0.021548106192598268	0.23306451695264108	-0.7883298107908397	0.4069921367364895	-1.8367415550240365	0.2600819334423571	211	0.021441757732283406	0.05418163904111695
R00888	0.2137188010485633	0.03103557126376534	0.1337711694731038	0.2936664326240228	-1.5926431259637668	0.26028670923063707	-2.263141688941888	-0.9221445629856456	866	0.05202920456765869	7.749356711883593e-14
R00892	-0.1716453026182029	0.03217742891337456	-0.2545343594990558	-0.08875624573735004	1.8520737329821133	0.26828433692787523	1.1609732810559068	2.54317418490832	717	0.03827422284010229	1.9999999864261824
R00893	0.2074976061602148	0.06969594438977109	0.027960853412164477	0.3870343589082651	-1.7063325382797605	0.608846883135731	-3.2747221092374037	-0.13794296732211753	133	0.063373311315995	0.0035430893158379106
R00894	0.504333775962053	0.027502263359302174	0.43348794554849057	0.5751796063756154	-3.865498080308949	0.22965455012737743	-4.457088201437073	-3.273907959180825	1493	0.18403247500505804	0.0
R00931	0.09701131120398522	0.01578875328612277	0.05633948273893296	0.13768313966903747	-0.7883049782598904	0.13192520054231327	-1.1281442948568894	-0.4484656616628914	562	0.06315786766184128	3.648303881220727e-11
