category	name	definition
K01678	fumarate hydratase subunit beta [EC:4.2.1.2]	
K01679	fumarate hydratase, class II [EC:4.2.1.2]	
K01682	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	
K01684	galactonate dehydratase [EC:4.2.1.6]	
K01686	mannonate dehydratase [EC:4.2.1.8]	
K01690	phosphogluconate dehydratase [EC:4.2.1.12]	
K01693	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	
K01694	tryptophan synthase [EC:4.2.1.20]	
K01695	tryptophan synthase alpha chain [EC:4.2.1.20]	
K01696	tryptophan synthase beta chain [EC:4.2.1.20]	
K01698	porphobilinogen synthase [EC:4.2.1.24]	
K01707	5-dehydro-4-deoxyglucarate dehydratase [EC:4.2.1.41]	
K01708	galactarate dehydratase [EC:4.2.1.42]	
K01709	CDP-glucose 4,6-dehydratase [EC:4.2.1.45]	
K01710	dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	
K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	
K01712	urocanate hydratase [EC:4.2.1.49]	
K01719	uroporphyrinogen-III synthase [EC:4.2.1.75]	
K01720	2-methylcitrate dehydratase [EC:4.2.1.79]	
K01724	4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]	
K01734	methylglyoxal synthase [EC:4.2.3.3]	
K01735	3-dehydroquinate synthase [EC:4.2.3.4]	
K01736	chorismate synthase [EC:4.2.3.5]	
K01746	formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]	
K01749	hydroxymethylbilane synthase [EC:2.5.1.61]	
K01750	ornithine cyclodeaminase [EC:4.3.1.12]	
K01756	adenylosuccinate lyase [EC:4.3.2.2]	
K01759	lactoylglutathione lyase [EC:4.4.1.5]	
K01770	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	
K01772	protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]	
K01774	fumarate hydratase E [EC:4.2.1.2]	
K01775	alanine racemase [EC:5.1.1.1]	
K01776	glutamate racemase [EC:5.1.1.3]	
K01778	diaminopimelate epimerase [EC:5.1.1.7]	
K01779	aspartate racemase [EC:5.1.1.13]	
K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	
K01790	dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	
K01798	Alr-MurF fusion protein [EC:5.1.1.1 6.3.2.10]	
K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]	
K01804	L-arabinose isomerase [EC:5.3.1.4]	
K01807	ribose 5-phosphate isomerase A [EC:5.3.1.6]	
K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]	
K01813	L-rhamnose isomerase [EC:5.3.1.14]	
K01814	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	
K01815	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]	
K01817	phosphoribosylanthranilate isomerase [EC:5.3.1.24]	
K01819	galactose-6-phosphate isomerase [EC:5.3.1.26]	
K01820	L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-]	
K01823	isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	
K01837	bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]	
K01838	beta-phosphoglucomutase [EC:5.4.2.6]	
K01841	phosphoenolpyruvate phosphomutase [EC:5.4.2.9]	
K01843	lysine 2,3-aminomutase [EC:5.4.3.2]	
K01844	beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]	
K01845	glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	
K01846	methylaspartate mutase sigma subunit [EC:5.4.99.1]	
K01847	methylmalonyl-CoA mutase [EC:5.4.99.2]	
K01848	methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]	
K01849	methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]	
K01850	chorismate mutase [EC:5.4.99.5]	
K01851	salicylate biosynthesis isochorismate synthase [EC:5.4.4.2]	
K01857	3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]	
K01858	myo-inositol-1-phosphate synthase [EC:5.5.1.4]	
K01866	tyrosyl-tRNA synthetase [EC:6.1.1.1]	
K01869	leucyl-tRNA synthetase [EC:6.1.1.4]	
K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]	
K01873	valyl-tRNA synthetase [EC:6.1.1.9]	
K01893	asparaginyl-tRNA synthetase [EC:6.1.1.22]	
