environment	category	r_squared
Mammals: Human	R05850	0.1897175349965568
Mammals: Human	R05884	0.0913123774924666
Mammals: Human	R06613	0.0637760589662335
Mammals: Human	R06983	0.0573190878092509
Mammals: Human	R07140	0.0573190878092509
Mammals: Human	R07226	0.1518267557222635
Mammals: Human	R07234	0.1582494180581225
Mammals: Human	R07281	0.1861015499958216
Mammals: Human	R07359	0.1784127020056545
Mammals: Human	R08057	0.1002096515735639
Mammals: Human	R08991	0.1102574953181363
Mammals: Human	R09541	0.0665356834337806
Mammals: Human	R09819	0.3455587891008801
Plants	R00084	0.1407224257227994
Plants	R00138	0.2557606935019612
Plants	R00206	0.0856107302860589
Plants	R00214	0.1057037188117592
Plants	R00217	0.1545236561980834
Plants	R00251	0.0686251793715504
Plants	R00253	0.2469630558512735
Plants	R00289	0.0791185364740337
Plants	R00409	0.0686284956164813
Plants	R00424	0.0533637549093443
Plants	R00425	0.189543853150832
Plants	R00494	0.0913835515970703
Plants	R00524	0.1246938366422394
Plants	R00586	0.0994066510528597
Plants	R00630	0.2625795944999809
Plants	R00768	0.2684834074403545
Plants	R00830	0.0804378688484496
Plants	R00847	0.0524771746555742
Plants	R00888	0.1691040932189423
Plants	R00892	0.1171000774404323
Plants	R00893	0.0867345025415422
Plants	R00894	0.0945481948470953
Plants	R00931	0.133253903210181
Plants	R00944	0.1211984902897016
Plants	R00966	0.0654810227040184
Plants	R01073	0.0901590363616586
Plants	R01082	0.1085568366551682
Plants	R01092	0.0539217412572886
Plants	R01183	0.06585716904742
Plants	R01201	0.365756596473055
Plants	R01220	0.1341004452111515
Plants	R01334	0.2119541929917077
Plants	R01357	0.0796088181275843
Plants	R01361	0.1538203472129592
Plants	R01384	0.0881185289489375
Plants	R01450	0.0559207212499159
Plants	R01505	0.2606699835230741
Plants	R01529	0.0784175679420425
Plants	R01715	0.2788770014903479
Plants	R01730	0.0994607618175771
Plants	R01826	0.0686806305540375
Plants	R01889	0.0533095982671124
Plants	R01931	0.2134267452335985
Plants	R01993	0.0570068895035138
Plants	R02055	0.066688983113469
Plants	R02082	0.1800275204970738
Plants	R02204	0.1862865133823248
Plants	R02291	0.2150777649219371
Plants	R02292	0.2015251936270896
Plants	R02413	0.0762680533258103
Plants	R02472	0.1963401101113119
Plants	R02574	0.0535374522331307
Plants	R02728	0.1134722662955173
Plants	R02782	0.0873672151425863
Plants	R03084	0.0729451531475036
Plants	R03165	0.0930848817855635
Plants	R03220	0.2440044812571562
Plants	R03307	0.1890379389556948
Plants	R03390	0.0690726129089133
Plants	R03460	0.111139860061768
Plants	R03464	0.0690726129089133
Plants	R03532	0.3000474719563744
Plants	R03696	0.0622814295768264
Plants	R04035	0.071278998225729
Plants	R04148	0.0967350962000711
Plants	R04150	0.1005265457857844
Plants	R04152	0.0897604280530525
Plants	R04420	0.1027879806225462
Plants	R04591	0.0879404878285818
