environment	category	r_squared
Aquatic	K24042	0.0569031409731791
Aquatic	K24263	0.0518713948754376
Aquatic	K28067	0.0607238974801718
Aquatic	K28068	0.0607238974801718
Aquatic	K28069	0.0607238974801718
Aquatic	K28207	0.0672215366715413
Aquatic	K28208	0.0672215366715413
Terrestrial	K00005	0.0520075055521641
Terrestrial	K00021	0.1591999924004815
Terrestrial	K00133	0.2249631655258324
Terrestrial	K00200	0.2101458255938433
Terrestrial	K00201	0.2101458255938433
Terrestrial	K00202	0.2101458255938433
Terrestrial	K00203	0.2101458255938433
Terrestrial	K00204	0.2101458255938433
Terrestrial	K00205	0.2101458255938433
Terrestrial	K00216	0.0544661526992615
Terrestrial	K00228	0.0738524630227962
Terrestrial	K00265	0.0822042180676334
Terrestrial	K00266	0.0822042180676334
Terrestrial	K00288	0.086941493876978
Terrestrial	K00299	0.1092344735684366
Terrestrial	K00300	0.086941493876978
Terrestrial	K00301	0.0747823990960073
Terrestrial	K00302	0.0747823990960073
Terrestrial	K00303	0.0747823990960073
Terrestrial	K00304	0.0747823990960073
Terrestrial	K00305	0.0747823990960073
Terrestrial	K00306	0.0775180374316517
Terrestrial	K00450	0.2772695775843034
Terrestrial	K00640	0.2115521655248676
Terrestrial	K00672	0.3468125959630386
Terrestrial	K00767	0.1267081156510584
Terrestrial	K00768	0.2603035123205262
Terrestrial	K00787	0.8841332956655399
Terrestrial	K00795	0.8841332956655399
Terrestrial	K00800	0.0810348763776551
Terrestrial	K00820	0.29900345458377
Terrestrial	K00855	0.1132479919329175
Terrestrial	K00864	0.1291504446631495
Terrestrial	K00884	0.3276891768232612
Terrestrial	K00938	0.0725482159085216
Terrestrial	K00948	0.0618437701883285
Terrestrial	K00973	0.0833324905710606
Terrestrial	K01006	0.0685262554726111
Terrestrial	K01089	0.0631589272722977
Terrestrial	K01091	0.2454154525772856
Terrestrial	K01483	0.1458529440704599
Terrestrial	K01491	0.086941493876978
Terrestrial	K01495	0.0669807646961017
Terrestrial	K01497	0.2505043778211666
Terrestrial	K01586	0.222839681253997
Terrestrial	K01587	0.0602379816920719
Terrestrial	K01626	0.1045896862298102
Terrestrial	K01627	0.0653620402166521
Terrestrial	K01638	0.0831615014681921
Terrestrial	K01655	0.0788659199765889
Terrestrial	K01662	0.2385080527896758
Terrestrial	K01664	0.1135108661573626
Terrestrial	K01665	0.1135108661573626
Terrestrial	K01675	0.1425560262830612
