accession	filePath	fileType	uncompressedLengthBytes
GCF_000012945.1	GCF_000012945.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000013025.1	GCF_000013025.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	4055691
GCF_000013025.1	GCF_000013025.1/genomic.gbff	GENBANK_FLAT_FILE	9409396
GCF_000013025.1	GCF_000013025.1/GCF_000013025.1_ASM1302v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3751398
GCF_000013025.1	GCF_000013025.1/genomic.gff	GFF3	2058883
GCF_000013025.1	GCF_000013025.1/protein.faa	PROTEIN_FASTA	1393750
GCF_000013025.1	GCF_000013025.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000013145.1	GCF_000013145.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	1099293
GCF_000013145.1	GCF_000013145.1/genomic.gbff	GENBANK_FLAT_FILE	2845665
GCF_000013145.1	GCF_000013145.1/GCF_000013145.1_ASM1314v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	1191020
GCF_000013145.1	GCF_000013145.1/genomic.gff	GFF3	600380
GCF_000013145.1	GCF_000013145.1/protein.faa	PROTEIN_FASTA	373516
GCF_000013145.1	GCF_000013145.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000013345.1	GCF_000013345.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	5510128
GCF_000013345.1	GCF_000013345.1/genomic.gbff	GENBANK_FLAT_FILE	13155077
GCF_000013345.1	GCF_000013345.1/GCF_000013345.1_ASM1334v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	5501600
GCF_000013345.1	GCF_000013345.1/genomic.gff	GFF3	2842241
GCF_000013345.1	GCF_000013345.1/protein.faa	PROTEIN_FASTA	1802217
GCF_000013345.1	GCF_000013345.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000014025.1	GCF_000014025.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	2690552
GCF_000014025.1	GCF_000014025.1/genomic.gbff	GENBANK_FLAT_FILE	6401901
GCF_000014025.1	GCF_000014025.1/GCF_000014025.1_ASM1402v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	2370579
GCF_000014025.1	GCF_000014025.1/genomic.gff	GFF3	1518792
GCF_000014025.1	GCF_000014025.1/protein.faa	PROTEIN_FASTA	900780
GCF_000014025.1	GCF_000014025.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000014425.1	GCF_000014425.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	2097526
GCF_000014425.1	GCF_000014425.1/genomic.gbff	GENBANK_FLAT_FILE	5139694
GCF_000014425.1	GCF_000014425.1/GCF_000014425.1_ASM1442v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	1918116
GCF_000014425.1	GCF_000014425.1/genomic.gff	GFF3	1249877
GCF_000014425.1	GCF_000014425.1/protein.faa	PROTEIN_FASTA	676325
GCF_000014425.1	GCF_000014425.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000014445.1	GCF_000014445.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	2286550
GCF_000014445.1	GCF_000014445.1/genomic.gbff	GENBANK_FLAT_FILE	5697457
GCF_000014445.1	GCF_000014445.1/GCF_000014445.1_ASM1444v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	2101904
GCF_000014445.1	GCF_000014445.1/genomic.gff	GFF3	1396308
GCF_000014445.1	GCF_000014445.1/protein.faa	PROTEIN_FASTA	767754
GCF_000014445.1	GCF_000014445.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000014785.1	GCF_000014785.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	3545606
GCF_000014785.1	GCF_000014785.1/genomic.gbff	GENBANK_FLAT_FILE	8229804
GCF_000014785.1	GCF_000014785.1/GCF_000014785.1_ASM1478v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3316959
GCF_000014785.1	GCF_000014785.1/genomic.gff	GFF3	1759186
GCF_000014785.1	GCF_000014785.1/protein.faa	PROTEIN_FASTA	1219970
GCF_000014785.1	GCF_000014785.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000014805.1	GCF_000014805.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	5091903
GCF_000014805.1	GCF_000014805.1/genomic.gbff	GENBANK_FLAT_FILE	12352458
GCF_000014805.1	GCF_000014805.1/GCF_000014805.1_ASM1480v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	4803835
GCF_000014805.1	GCF_000014805.1/genomic.gff	GFF3	2778132
GCF_000014805.1	GCF_000014805.1/protein.faa	PROTEIN_FASTA	1702674
GCF_000014805.1	GCF_000014805.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000015445.1	GCF_000015445.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	1457786
GCF_000015445.1	GCF_000015445.1/genomic.gbff	GENBANK_FLAT_FILE	3777904
GCF_000015445.1	GCF_000015445.1/GCF_000015445.1_ASM1544v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	1463147
GCF_000015445.1	GCF_000015445.1/genomic.gff	GFF3	908745
GCF_000015445.1	GCF_000015445.1/protein.faa	PROTEIN_FASTA	467651
GCF_000015445.1	GCF_000015445.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000015585.1	GCF_000015585.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	2969914
GCF_000015585.1	GCF_000015585.1/genomic.gbff	GENBANK_FLAT_FILE	6973370
GCF_000015585.1	GCF_000015585.1/GCF_000015585.1_ASM1558v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	2711994
GCF_000015585.1	GCF_000015585.1/genomic.gff	GFF3	1576499
GCF_000015585.1	GCF_000015585.1/protein.faa	PROTEIN_FASTA	1015930
GCF_000015585.1	GCF_000015585.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000015785.2	GCF_000015785.2/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	4314790
GCF_000015785.2	GCF_000015785.2/genomic.gbff	GENBANK_FLAT_FILE	10595646
GCF_000015785.2	GCF_000015785.2/GCF_000015785.2_ASM1578v2_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3967637
GCF_000015785.2	GCF_000015785.2/genomic.gff	GFF3	2535948
