environment	category	Z_alpha	Z_beta	n_genomes_used
Aquatic	map01240	-3.335293154748167	3.4133100673717918	598
Aquatic	map01250	-3.4945278902414674	3.5204712548871138	598
Aquatic	map01310	1.3927219228616095	-1.3879413739522346	286
Terrestrial	map00030	-4.382727976972286	4.33382721369078	479
Terrestrial	map00040	-1.3312076015638963	1.321726377714815	479
Terrestrial	map00052	4.159631514589319	-4.176382475213289	461
Terrestrial	map00061	-0.0926784191326066	0.07170760709108158	39
Terrestrial	map00220	-2.4495458812792226	2.410519990818996	477
Terrestrial	map00230	-1.62849711808955	1.663361804750883	479
Terrestrial	map00250	0.18160204062564347	-0.20216571305450207	479
Terrestrial	map00260	-0.5548584691238603	0.48861051504384423	479
Terrestrial	map00270	-1.9530224295598027	1.850360199011418	479
Terrestrial	map00280	1.9102226790342414	-1.8810289178834831	316
Terrestrial	map00300	-0.2558308585506012	0.2112309751958514	479
Terrestrial	map00340	-2.4358532938662165	2.374655880744114	477
Terrestrial	map00350	-0.25463183927655686	0.2517286773417341	288
Terrestrial	map00360	0.4675859183998378	-0.43606100448595486	333
Terrestrial	map00362	0.2983929492559402	-0.34092541385542013	232
Terrestrial	map00400	-0.6671160948145333	0.6513126080251553	479
Terrestrial	map00470	-1.59066671746162	1.5419481436257403	479
Terrestrial	map00480	-1.264386919064022	1.179940831596648	443
Terrestrial	map00520	2.756279072897066	-2.6699717592602443	479
Terrestrial	map00521	0.7046578285707484	-0.6677160592648024	446
Terrestrial	map00525	2.252309885330152	-2.2090038643950938	435
Terrestrial	map00541	-4.166464350199134	4.098752348008974	479
Terrestrial	map00550	1.0839497742326145	-1.0740041344650637	479
Terrestrial	map00552	1.4185119199024425	-1.479458826703576	449
Terrestrial	map00561	3.224834729040908	-3.226724753083288	466
Terrestrial	map00562	2.5143119220938086	-2.4986153597225433	476
Terrestrial	map00620	-5.514286011425435	5.41947091649723	479
Terrestrial	map00630	-3.6024765118362154	3.5222392169487238	479
Terrestrial	map00643	-0.4307059109280284	0.47248671549447124	244
Terrestrial	map00650	0.5802916597184761	-0.48516099698327386	378
Terrestrial	map00670	-1.9994741238549008	1.9614749264847702	479
Terrestrial	map00680	-3.4209527293353794	3.3187189877369065	465
Terrestrial	map00720	-1.6529449133039096	1.6805182401075915	479
Terrestrial	map00730	0.5121940463469699	-0.5335096079973889	479
Terrestrial	map00740	-1.6731304443013775	1.8281531753794362	478
Terrestrial	map00760	-0.25935085233223687	0.33858153015729636	477
Terrestrial	map00770	0.24903679657985847	-0.306205295972359	479
Terrestrial	map00780	0.4091579658480864	-0.45132774578362356	376
Terrestrial	map00790	-2.0171452965689545	2.0023132907673844	475
Terrestrial	map00860	-6.561583690100956	6.613320424560629	477
Terrestrial	map00900	4.214661752744419	-4.103978046710416	479
Terrestrial	map00910	-1.8660094674540157	1.8397376750102996	479
Terrestrial	map00998	2.8658154222385726	-2.899746215441757	353
Terrestrial	map01040	-0.0926784191326066	0.07170760709108158	39
Terrestrial	map01053	-0.1730165168188329	0.11352960926414225	147
Terrestrial	map01100	-7.007738121232337	6.882199041233723	479
Terrestrial	map01110	-8.79900035244046	8.744465927922462	479
Terrestrial	map01120	-7.416013570771483	7.347924745046675	479
Terrestrial	map01200	-6.901950856436068	6.788693507982691	479
Terrestrial	map01210	-1.772554018864722	1.7193174376040798	479
Terrestrial	map01212	-0.0926784191326066	0.07170760709108158	39
Terrestrial	map01220	-0.11136206635027535	0.08326665587034804	253
Terrestrial	map01230	-7.6465861311722225	7.5559164513496135	479
Terrestrial	map01232	-2.0239564952350437	2.0234848059009454	479
Terrestrial	map01240	-5.453863287474878	5.403882926727973	479
Terrestrial	map01250	-1.7457723659416509	1.7276492445950415	479
Mammals: Human	map00010	2.7913159113500288	-2.851643210761645	406
Mammals: Human	map00020	1.520356130173284	-1.5816566417540592	361
Mammals: Human	map00030	0.6737298945709693	-0.7366584913106881	406
Mammals: Human	map00040	1.621226349525945	-1.4896488013574425	405
Mammals: Human	map00051	0.741115320770669	-0.8350912009070997	400
Mammals: Human	map00053	2.508797445109431	-2.438315672523293	158
Mammals: Human	map00061	-0.0631712449676624	0.0426480511330639	48
Mammals: Human	map00220	-0.05906400674448819	-0.0401742206007238	391
Mammals: Human	map00230	1.6610441573110823	-1.7372223736606864	406
Mammals: Human	map00240	-0.11371904664878171	0.22614000402728482	406
Mammals: Human	map00250	-0.6694607173100547	0.7428928748048309	405
Mammals: Human	map00260	1.5207574956199947	-1.5946045004793645	399
Mammals: Human	map00270	2.741792625925467	-2.7103270785243954	402
Mammals: Human	map00280	0.32699885337745455	-0.14637718800037233	217
Mammals: Human	map00290	2.1269799403869976	-2.0922338524777992	317
Mammals: Human	map00300	4.305988937631189	-4.307468595278119	392
Mammals: Human	map00330	3.0400099953607627	-3.1606850027524573	355
Mammals: Human	map00340	2.626485293034945	-2.6703773437249265	352
Mammals: Human	map00350	-1.4196762580166018	1.3700345137136085	103
Mammals: Human	map00360	-0.5112600988974575	0.5054236649504782	139
