category	Z_alpha_category	Z_beta_category	n_envs_used
K02613	1.2313440097034158	1.2010894779722927	4
K02626	0.6723114318457094	0.7008487535747749	3
K02805	1.091854973631434	1.093569864754824	3
K02825	2.0434713568885483	2.027393513122901	7
K02851	0.8681347526342784	0.8396116204056204	3
K02858	2.009860232694186	1.9456519590549357	8
K03077	1.5242200376468373	1.5008940595777325	6
K03181	0.35303004311616776	0.35112647251118706	3
K03274	0.9340870340248059	0.9256436241416482	2
K03335	1.587908003518243	1.5483611411189808	5
K03342	1.3918986715221255	1.3364310921391798	8
K03394	0.32188307636003594	0.32746555530956767	3
K03396	0.24366730018694846	0.2434587395189651	3
K03403	1.6792344151624647	1.7316133736521182	2
K03404	1.6792344151624647	1.7316133736521182	2
K03405	1.6792344151624647	1.7316133736521182	2
K03417	1.6890042105262792	1.6625788147726273	5
K03430	1.8213450477595143	1.7991756151553637	7
K03431	1.0516401495908576	1.1412168116312098	4
K03465	1.5635831221581418	1.5869185227604143	6
K03474	1.11920956130063	1.1199973962314467	5
K03526	7.807140874055993	7.674060431127727	4
K03527	3.5864801883017536	3.5422014323367765	8
K03707	0.6404408090709633	0.6186005254093675	6
K03777	1.133250696268843	1.1412802573578769	7
K03778	1.133250696268843	1.1412802573578769	7
K03785	2.528691758085512	2.473790830301424	8
K03786	2.528691758085512	2.473790830301424	8
K03794	1.6430984322654976	1.6171760299400502	7
K03852	0.8838162628948476	0.8888925910282238	2
K03856	2.305058465583313	2.2509673704412614	8
K03921	0.7146733216294138	0.6656924444396753	3
K03922	0.7146733216294138	0.6656924444396753	3
K04042	0.7305303386787337	0.6834881838990778	5
K04092	2.877362758802071	2.8681366898774425	6
K04093	2.877362758802071	2.8681366898774425	6
K04486	0.9135695068141678	0.9284040363657688	8
K04516	2.877362758802071	2.8681366898774425	6
K04517	1.653079671356317	1.6550755278581173	3
K04720	1.5108514245517568	1.4768681263669512	7
K04835	0.6707724691455982	0.6747222292761842	2
K05306	0.5352607174638916	0.5326189650828539	6
K05308	0.6383300777998102	0.6610547957642624	4
K05526	0.6837287992990901	0.6635832703117037	2
K05602	0.9135695068141678	0.9284040363657688	8
K05774	0.6935956661904749	0.7185429364213707	4
K05878	1.0258273637608417	1.0133761862009276	7
K05879	1.0258273637608417	1.0133761862009276	7
K05881	1.0258273637608417	1.0133761862009276	7
K05887	1.134957219693244	1.1116807424371364	8
K05942	1.3722539754691405	1.3765792600943414	5
K06001	1.6427342654219856	1.6609298440330937	8
K06048	1.4888286021275674	1.3733714255213338	8
K06153	2.0893377084376348	1.9821688311808723	8
K06208	2.877362758802071	2.8681366898774425	6
K06209	2.877362758802071	2.8681366898774425	6
K06447	0.9531918696179108	0.9441240638870024	4
K06718	0.2531980825828197	0.2415829847789546	2
K06879	0.7239605621421266	0.708925435942314	5
K07127	1.0391814914196755	1.0176198517030288	8
K07142	2.3391194054317834	2.278631630744275	8
K07160	1.4550306675415141	1.4409996898153312	8
K07173	1.7805365451062307	1.7834987340191713	3
K07404	0.9436935236371186	0.9617781058539452	5
K07558	1.3417334695090177	1.3795423799292146	2
K07749	1.3808944072910836	1.3827258846303883	4
K08302	0.561076231970945	0.5677564896704611	3
K08316	2.753247361419181	2.653342667710298	7
K08323	1.4917460917969891	1.4785561274096741	7
K08678	1.6644532359758453	1.5969410614756963	4
K08963	1.7764950608040249	1.7664230380935595	7
K08967	0.9079110554754188	0.958130331918012	3
K09007	1.5633130412182819	1.532257032753436	8
K09457	0.7239605621421266	0.708925435942314	5
K09882	1.6521826212086386	1.619902909050958	7
K09883	1.6521826212086386	1.619902909050958	7
K10977	0.7596422332810808	0.7371482055451803	3
K11204	1.4888286021275674	1.3733714255213338	8
K11205	1.4888286021275674	1.3733714255213338	8
K11260	1.133992896759677	1.1393630568071367	3
K11261	1.133992896759677	1.1393630568071367	3
K11391	2.753247361419181	2.653342667710298	7
K11395	0.9413870828328429	0.9140933230063328	4
K11528	0.571953614744481	0.5759663497552112	4
K11540	2.495886647092405	2.413784706154344	8
K11541	0.5275125636346626	0.5150938471154491	7
K11752	1.7627141362048424	1.7694105164058465	8
K11753	1.4606661808464492	1.4513056925465102	5
K11755	1.0611508269953227	1.048402314425229	8
K11787	1.1213493385182673	1.1527624925408329	8
K11788	1.1213493385182673	1.1527624925408329	8
K11808	1.9828792885912188	1.9933889948567616	8
K12251	0.37596388280398507	0.37055328670320953	4
K12297	2.753247361419181	2.653342667710298	7
K12350	0.6159510034576834	0.6264899370963094	2
K12351	0.6159510034576834	0.6264899370963094	2
K12352	0.6159510034576834	0.6264899370963094	2
K12353	0.6159510034576834	0.6264899370963094	2
K12354	0.6159510034576834	0.6264899370963094	2
K12447	1.3962749312411695	1.4348573398016728	8
K12449	1.6644532359758453	1.5969410614756963	4
K12506	2.069129369083251	2.0837401410294993	8
K12524	2.0236008954508944	1.9686146010031693	8
