environment	category	Z_alpha	Z_beta	n_genomes_used
Terrestrial	map00550	1.083949774232611	-1.0740041344650635	479
Terrestrial	map00552	1.4185119199024434	-1.479458826703576	449
Terrestrial	map00561	3.224834729040907	-3.226724753083288	466
Terrestrial	map00562	2.514311922093808	-2.4986153597225425	476
Terrestrial	map00564	-4.915364774292976	4.658862867628164	472
Terrestrial	map00566	-0.29060162502504133	0.32627146507849547	396
Terrestrial	map00600	0.37107394961102186	-0.37487966628529706	69
Terrestrial	map00620	-5.514286011425425	5.419470916497229	479
Terrestrial	map00621	-0.8708193539336584	0.866176283095319	127
Terrestrial	map00622	-0.8708193539336584	0.866176283095319	127
Terrestrial	map00625	-0.6758619119517935	0.7193082571255428	93
Terrestrial	map00626	-0.11573105436396905	0.14360472209593983	28
Terrestrial	map00630	-3.602476511836213	3.5222392169487238	479
Terrestrial	map00640	-1.84673217996907	1.740644795191152	420
Terrestrial	map00643	-0.43070591092802746	0.47248671549447124	244
Terrestrial	map00650	0.5802916597184758	-0.48516099698327386	378
Terrestrial	map00660	-2.2553494239472274	2.1774096619240266	18
Terrestrial	map00670	-1.9994741238548992	1.96147492648477	479
Terrestrial	map00680	-3.4209527293353768	3.3187189877369065	465
Terrestrial	map00710	-3.3731347614450073	3.2509211258887336	479
Terrestrial	map00720	-1.6529449133039076	1.6805182401075915	479
Terrestrial	map00730	0.5121940463469693	-0.5335096079973889	479
Terrestrial	map00740	-1.6731304443013775	1.8281531753794362	478
Terrestrial	map00750	-1.2847682465187487	1.0733239506250603	223
Terrestrial	map00760	-0.25935085233223554	0.33858153015729636	477
Terrestrial	map00770	0.24903679657986078	-0.306205295972359	479
Terrestrial	map00780	0.40915796584808684	-0.45132774578362356	376
Terrestrial	map00790	-2.0171452965689514	2.0023132907673844	475
Terrestrial	map00791	-0.29955341102980876	0.2475151928141258	111
Terrestrial	map00860	-6.561583690100946	6.613320424560628	477
Terrestrial	map00900	4.214661752744413	-4.103978046710416	479
Terrestrial	map00909	0.29601954500632394	-0.29381205471864746	33
Terrestrial	map00910	-1.8660094674540157	1.8397376750102996	479
Terrestrial	map00920	-6.65106309496897	6.38807051632804	475
Terrestrial	map00970	-1.1112093018514617	1.0476509903278415	479
Terrestrial	map00984	-1.2949543261696561	1.242873686268111	45
Terrestrial	map00997	-1.4249751178883643	1.3664237576422458	157
Terrestrial	map00998	2.8658154222385703	-2.899746215441757	353
Terrestrial	map01040	-0.09267841913260626	0.07170760709108132	39
Terrestrial	map01053	-0.17301651681883284	0.11352960926414225	147
Terrestrial	map01055	2.757048432389397	-2.6662577800648877	425
Terrestrial	map01100	-7.007738121232306	6.882199041233722	479
Terrestrial	map01110	-8.79900035244045	8.744465927922462	479
Terrestrial	map01120	-7.416013570771463	7.347924745046675	479
Terrestrial	map01200	-6.901950856436063	6.788693507982689	479
Terrestrial	map01210	-1.772554018864719	1.7193174376040798	479
Terrestrial	map01212	-0.09267841913260626	0.07170760709108132	39
Terrestrial	map01220	-0.11136206635027529	0.08326665587034804	253
Terrestrial	map01230	-7.6465861311721985	7.555916451349612	479
Terrestrial	map01232	-2.0239564952350415	2.0234848059009454	479
Terrestrial	map01240	-5.453863287474861	5.403882926727971	479
Terrestrial	map01250	-1.7457723659416469	1.7276492445950413	479
Terrestrial	map01310	-2.6978779402963013	2.7279698979063256	316
Terrestrial	map01320	-2.3284663511007824	2.213700922756508	399
Mammals: Human	map00010	2.791315911350026	-2.8516432107616447	406
Mammals: Human	map00020	1.5203561301732818	-1.581656641754059	361
Mammals: Human	map00030	0.6737298945709698	-0.736658491310688	406
Mammals: Human	map00040	1.6212263495259445	-1.4896488013574425	405
Mammals: Human	map00051	0.7411153207706683	-0.8350912009070988	400
Mammals: Human	map00052	-2.2383859988374946	2.303400891722169	389
Mammals: Human	map00053	2.5087974451094306	-2.4383156725232924	158
Mammals: Human	map00061	-0.06317124496766215	0.04264805113306412	48
Mammals: Human	map00130	5.309616990176056	-5.096000569881266	253
Mammals: Human	map00220	-0.05906400674448819	-0.040174220600723794	391
Mammals: Human	map00230	1.6610441573110792	-1.737222373660686	406
Mammals: Human	map00240	-0.11371904664878034	0.22614000402728482	406
